city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Rio Tinto,41.1780,-8.5600,Portugal,PT,Porto,,50713,50713
Amora,38.6230,-9.1200,Portugal,PT,Setúbal,,48629,48629
Águeda,40.5744,-8.4481,Portugal,PT,Aveiro,minor,47729,47729
Vale de Cavalos,38.6500,-9.1500,Portugal,PT,Setúbal,,47661,47661
Corroios,38.6500,-9.1500,Portugal,PT,Setúbal,,46475,46475
Albufeira,37.0897,-8.2458,Portugal,PT,Faro,minor,44158,44158
Guarda,40.5333,-7.3333,Portugal,PT,Guarda,admin,42541,42541
Abrantes,39.4633,-8.1975,Portugal,PT,Santarém,minor,39325,39325
Mafamude,41.1350,-8.6170,Portugal,PT,Porto,,38940,38940
Ermezinde,41.2170,-8.5500,Portugal,PT,Porto,,38798,38798
Beja,38.0333,-7.8833,Portugal,PT,Beja,admin,35854,35854
Agualva,38.7700,-9.2988,Portugal,PT,Lisboa,,35824,35824
Bragança,41.8067,-6.7589,Portugal,PT,Bragança,admin,35341,35341
Espinho,41.0000,-8.6333,Portugal,PT,Aveiro,minor,31027,31027
Charneca,38.6300,-9.2000,Portugal,PT,Setúbal,,29763,29763
Perafita,41.2240,-8.6980,Portugal,PT,Porto,,29407,29407
Funchal,32.6500,-16.9167,Portugal,PT,Madeira,admin,29403,29403
Póvoa de Santa Iria,38.8620,-9.0690,Portugal,PT,Lisboa,,29348,29348
Senhora da Hora,41.1860,-8.6510,Portugal,PT,Porto,,29000,29000
Tondela,40.5167,-8.0833,Portugal,PT,Viseu,minor,28946,28946
Arrentela,38.6270,-9.1030,Portugal,PT,Setúbal,,28886,28886
Massamá,38.7570,-9.2750,Portugal,PT,Lisboa,,28112,28112
Águas Santas,41.2090,-8.5890,Portugal,PT,Porto,,27470,27470
Estoril,38.7042,-9.3983,Portugal,PT,Lisboa,,26399,26399
Pinhal Novo,38.6310,-8.9140,Portugal,PT,Setúbal,,25000,25000
Portalegre,39.3167,-7.4167,Portugal,PT,Portalegre,admin,24930,24930
Cartaxo,39.1500,-8.7833,Portugal,PT,Santarém,minor,24462,24462
Lagoa,37.1333,-8.4500,Portugal,PT,Faro,minor,22975,22975
Vagos,40.5500,-8.6833,Portugal,PT,Aveiro,minor,22851,22851
São João da Madeira,40.8972,-8.4889,Portugal,PT,Aveiro,minor,21713,21713
Oliveira de Azemeis,40.8400,-8.4750,Portugal,PT,Aveiro,minor,20760,20760
Entroncamento,39.4653,-8.4681,Portugal,PT,Santarém,minor,20206,20206
Mangualde,40.6042,-7.7611,Portugal,PT,Viseu,minor,18303,18303
Arganil,40.2180,-8.0540,Portugal,PT,Coimbra,minor,12145,12145
Ponte da Barca,41.8000,-8.4000,Portugal,PT,Viana do Castelo,minor,12061,12061
Feira,40.9300,-8.5520,Portugal,PT,Aveiro,minor,11040,11040
Setúbal,38.5243,-8.8926,Portugal,PT,Setúbal,admin,10000,10000
Paredes de Coura,41.9000,-8.5500,Portugal,PT,Viana do Castelo,minor,9198,9198
Belmonte,40.3500,-7.3500,Portugal,PT,Castelo Branco,minor,6859,6859
